,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,0.00,1.00,3.00,9.50,17.25,31.00
torb,0.00,0.25,1.25,6.25,13.00,32.50,50.00,61.50
sift,0.00,0.00,1.27,2.03,5.32,15.44,28.35,40.76
tsift,0.26,1.28,5.37,17.14,36.83,54.73,64.71,74.68
spoint,0.25,0.75,5.75,13.25,21.00,33.00,39.25,43.25
tspoint,0.25,2.00,8.50,23.00,38.00,49.75,55.00,62.00
sphorb,0.00,0.25,1.75,7.75,18.25,38.50,51.25,62.75
alike,0.00,0.00,0.00,0.25,0.76,1.01,1.26,1.76
talike,0.00,0.00,0.50,1.25,2.50,4.25,4.50,4.75
Nspoint,0.25,0.75,3.01,9.52,18.55,36.34,52.63,70.18
Ntspoint,0.25,0.75,3.01,9.52,18.55,36.34,52.63,70.18
