,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.40,0.60,4.41,10.22,19.24,34.87,50.90,66.93
torb,0.20,0.80,10.42,23.25,37.27,53.11,64.93,78.56
sift,0.80,4.81,15.63,29.46,43.89,59.52,70.34,81.56
tsift,0.80,10.22,42.69,60.12,70.54,78.36,85.97,92.38
spoint,0.40,6.00,24.00,36.40,48.20,59.80,65.60,72.60
tspoint,0.40,2.20,15.80,29.20,40.80,51.40,57.00,59.40
sphorb,0.00,1.80,12.63,25.05,41.28,58.72,70.14,80.36
alike,0.20,0.60,2.20,3.00,4.00,4.40,5.00,5.40
talike,0.40,1.00,4.00,5.40,7.00,9.00,10.00,11.80
Ltspoint,0.40,2.00,14.40,21.60,26.20,29.40,32.60,33.80
Proposed,0.60,5.80,32.80,61.20,78.20,89.40,93.60,96.60
