,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.20,0.40,1.60,4.61,8.82,18.24,29.46,47.90
torb,0.00,0.40,4.81,11.02,19.24,36.67,49.50,64.53
sift,0.00,1.40,6.41,15.83,28.26,46.89,59.32,70.74
tsift,1.40,4.01,19.44,42.69,60.92,73.35,80.96,87.78
spoint,0.60,1.60,9.80,25.60,41.60,54.80,60.80,65.40
tspoint,0.60,2.20,7.40,16.00,33.00,49.40,54.80,59.60
sphorb,0.00,0.20,3.81,9.62,22.04,40.88,55.51,70.14
alike,0.20,0.20,1.20,2.40,3.80,4.40,5.00,5.20
talike,0.00,0.60,2.20,4.20,5.60,7.20,8.80,10.20
Ltspoint,0.00,0.40,4.00,10.20,20.20,29.00,30.80,33.20
Proposed,0.60,2.80,18.00,42.60,67.80,87.60,92.80,95.40
