,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,0.00,0.75,3.50,12.00,25.50,44.00
torb,0.25,0.25,2.00,6.00,16.25,38.00,57.00,69.25
sift,0.00,0.25,1.27,5.82,12.66,26.84,40.51,55.19
tsift,1.02,2.81,9.21,24.30,44.76,64.71,75.96,83.63
spoint,0.50,1.50,8.25,21.75,34.50,42.50,49.00,53.50
tspoint,0.50,1.75,7.75,19.00,33.75,45.25,52.75,58.00
sphorb,0.25,0.50,2.00,7.75,19.75,46.00,60.50,72.50
alike,0.00,0.25,0.50,1.51,1.76,1.76,1.76,1.76
talike,0.00,0.00,0.50,2.00,5.25,7.00,7.75,9.25
Ltspoint,0.00,0.25,4.00,11.00,22.25,32.25,37.50,41.00
Proposed,0.50,1.25,5.00,20.25,45.75,74.00,84.75,91.50
