,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,1.80,3.81,9.82,22.44,41.28,55.71
torb,0.20,0.40,3.21,9.82,17.84,33.87,50.50,67.94
sift,1.40,4.81,14.03,21.24,30.86,44.29,58.92,71.54
tsift,1.20,4.81,27.66,45.09,54.31,66.33,74.15,83.97
spoint,0.40,7.40,32.00,44.60,54.40,62.20,66.60,73.20
tspoint,0.80,4.40,22.00,39.00,47.40,54.40,59.00,61.40
sphorb,0.40,1.00,5.81,11.22,20.44,37.27,50.30,65.53
Mtspoint,1.60,6.60,29.80,50.20,67.00,79.20,85.20,91.40
MLtspoint,0.40,7.40,32.00,44.60,54.40,62.20,66.60,73.20
Rtspoint,1.08,3.25,13.23,23.43,31.67,40.56,46.85,55.75
Proposed,0.80,3.81,21.04,36.67,49.90,67.94,78.96,88.18
