,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,0.80,1.80,4.41,10.22,18.04,33.67
torb,0.00,0.20,2.00,4.41,7.82,18.24,31.46,49.70
sift,0.60,1.00,6.21,10.82,20.64,33.87,44.29,56.91
tsift,1.40,3.01,12.42,26.25,42.69,59.32,65.73,75.55
spoint,1.00,4.00,17.00,33.40,48.80,58.20,63.40,67.40
tspoint,0.20,0.80,7.00,21.80,38.80,52.20,56.80,60.60
sphorb,0.00,0.40,2.20,5.01,9.62,19.84,31.26,48.50
Mtspoint,1.60,3.20,15.80,35.20,55.40,73.80,82.20,87.60
MLtspoint,1.00,4.00,17.00,33.40,48.80,58.20,63.40,67.40
Rtspoint,0.43,1.08,5.21,11.28,19.74,31.45,38.39,45.77
Proposed,0.00,1.40,8.82,23.45,41.48,60.32,71.94,82.97
