,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,0.00,1.00,3.00,9.50,17.25,31.00
torb,0.00,0.25,1.25,6.25,13.00,32.50,50.00,61.50
sift,0.00,0.00,1.27,2.03,5.32,15.44,28.35,40.76
tsift,0.26,1.28,5.37,17.14,36.83,54.73,64.71,74.68
spoint,0.25,0.75,5.75,13.25,21.00,33.00,39.25,43.25
tspoint,0.25,2.00,8.50,23.00,38.00,49.75,55.00,62.00
sphorb,0.00,0.25,1.75,7.75,18.25,38.50,51.25,62.75
Mtspoint,0.25,1.00,5.00,14.00,30.00,49.25,62.25,71.25
MLtspoint,0.25,0.75,5.75,13.25,21.00,33.00,39.25,43.25
Rtspoint,0.00,0.00,1.27,3.81,8.57,15.87,24.13,26.67
Proposed,0.00,0.00,1.52,6.60,16.75,33.76,47.97,58.88
