,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,1.80,3.81,9.82,22.44,41.28,55.71
torb,0.20,0.40,3.21,9.82,17.84,33.87,50.50,67.94
sift,0.20,1.20,4.01,8.62,15.83,32.67,48.70,65.13
tsift,0.20,1.00,7.41,18.24,30.86,48.70,63.33,77.76
spoint,0.60,3.41,22.65,39.28,56.71,73.75,80.36,85.77
tspoint,0.40,3.21,24.85,43.49,59.92,76.75,84.17,90.98
sphorb,0.00,0.40,2.61,6.21,12.83,25.25,41.48,59.52
alike,0.00,0.40,1.00,2.20,4.41,7.82,13.23,20.84
talike,0.00,0.20,0.80,2.00,5.61,12.83,18.24,26.25
Ntspoint,0.60,3.41,22.65,39.28,56.71,73.75,80.36,85.77
