,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,0.80,1.80,4.41,10.22,18.04,33.67
torb,0.00,0.20,2.00,4.41,7.82,18.24,31.46,49.70
sift,0.20,0.20,1.00,4.01,8.22,17.23,28.26,46.69
tsift,0.00,0.60,2.00,7.01,15.83,30.66,46.29,64.53
spoint,0.60,2.61,11.02,28.46,43.69,62.32,75.15,80.76
tspoint,0.60,2.81,11.62,29.66,49.90,71.94,81.16,87.78
sphorb,0.00,0.00,1.00,2.20,4.61,11.82,22.85,37.88
alike,0.00,0.20,0.20,2.00,3.01,5.81,9.82,17.03
talike,0.00,0.20,0.60,1.40,3.41,9.42,13.83,24.45
Ntspoint,0.60,2.61,11.02,28.46,43.69,62.32,75.15,80.76
