,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.25,1.50,3.75,7.75,24.00,40.75,62.00
torb,0.25,1.00,8.25,21.75,40.00,57.00,71.00,83.50
sift,0.00,0.25,1.27,4.58,12.98,36.13,56.49,77.35
tsift,0.00,0.00,6.91,16.37,31.97,57.03,74.42,87.72
spoint,0.00,0.77,8.44,16.62,28.39,48.59,63.94,81.84
tspoint,0.00,0.51,10.23,25.32,47.31,72.63,85.17,92.58
sphorb,0.00,0.00,5.01,13.03,25.06,40.85,55.89,72.68
alike,0.00,0.00,0.26,0.26,1.79,5.36,10.97,17.60
talike,0.00,0.50,0.50,2.00,3.75,10.75,18.25,31.25
Ntspoint,0.00,0.77,8.44,16.62,28.39,48.59,63.94,81.84
