,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,0.00,1.00,3.00,9.50,17.25,31.00
torb,0.00,0.25,1.25,6.25,13.00,32.50,50.00,61.50
sift,0.25,0.25,0.51,1.27,3.56,12.72,23.41,39.69
tsift,0.00,0.26,0.77,5.12,12.28,28.90,49.62,64.96
spoint,0.26,0.26,1.53,7.67,18.16,33.50,46.04,62.66
tspoint,0.26,1.53,4.86,12.53,27.88,54.22,68.29,79.28
sphorb,0.00,0.00,0.75,3.51,11.28,24.81,38.85,49.62
alike,0.00,0.00,0.00,0.00,0.51,2.55,4.85,10.97
talike,0.00,0.25,0.50,1.50,2.25,5.75,11.25,20.50
Ntspoint,0.26,0.26,1.53,7.67,18.16,33.50,46.04,62.66
