,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,1.80,3.81,9.82,22.44,41.28,55.71
torb,0.20,0.40,3.21,9.82,17.84,33.87,50.50,67.94
sift,0.00,0.00,1.00,4.21,9.82,21.84,38.08,56.91
tsift,0.00,0.40,3.21,10.02,19.04,37.88,54.31,72.95
spoint,0.60,1.40,12.60,26.40,41.00,58.00,71.60,82.40
tspoint,0.00,0.80,14.03,35.07,53.31,70.34,82.57,91.78
sphorb,0.40,1.00,5.81,11.22,20.44,37.27,50.30,65.53
Mtspoint,1.60,6.60,29.80,50.20,67.00,79.20,85.20,91.40
MLtspoint,0.60,1.40,12.60,26.40,41.00,58.00,71.60,82.40
Rtspoint,0.00,0.40,6.20,16.60,31.40,46.40,56.80,70.00
Proposed,0.80,3.81,21.04,36.67,49.90,67.94,78.96,88.18
