,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,0.80,1.80,4.41,10.22,18.04,33.67
torb,0.00,0.20,2.00,4.41,7.82,18.24,31.46,49.70
sift,0.20,0.20,0.20,0.80,3.21,7.82,16.63,32.46
tsift,0.00,0.20,0.60,2.00,5.81,17.84,32.67,52.91
spoint,0.00,0.80,4.40,9.60,22.20,45.20,63.40,78.60
tspoint,0.40,1.60,7.82,18.44,39.08,63.13,77.15,87.58
sphorb,0.00,0.40,2.20,5.01,9.62,19.84,31.26,48.50
Mtspoint,1.60,3.20,15.80,35.20,55.40,73.80,82.20,87.60
MLtspoint,0.00,0.80,4.40,9.60,22.20,45.20,63.40,78.60
Rtspoint,0.00,0.20,2.40,7.20,18.20,34.80,48.40,63.60
Proposed,0.00,1.40,8.82,23.45,41.48,60.32,71.94,82.97
