,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.25,1.50,3.75,7.75,24.00,40.75,62.00
torb,0.25,1.00,8.25,21.75,40.00,57.00,71.00,83.50
sift,0.51,1.52,4.56,10.63,21.01,40.76,59.49,76.96
tsift,0.51,4.09,23.79,41.18,55.24,76.73,87.47,95.14
spoint,0.25,2.25,14.50,25.25,32.00,42.25,46.75,50.00
tspoint,1.25,4.25,22.25,44.25,58.75,71.50,75.75,78.25
sphorb,0.00,0.75,8.25,23.00,40.00,57.25,68.75,82.50
alike,0.00,0.00,0.25,0.76,1.26,1.51,1.76,1.76
talike,0.00,0.25,1.50,3.25,4.75,5.00,5.50,6.75
Ltspoint,0.25,1.00,11.25,17.75,22.00,25.50,26.25,27.00
Proposed,1.00,2.75,13.00,26.25,45.00,68.75,80.00,87.25
