,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.25,0.75,5.75,15.50,34.00,50.50,68.75
torb,0.00,0.50,8.50,23.50,42.00,64.25,75.75,85.75
sift,0.00,2.53,7.85,19.24,32.91,55.19,72.66,85.82
tsift,1.53,7.42,31.71,51.66,70.33,85.93,91.56,96.93
spoint,1.75,6.00,29.00,41.75,51.75,59.00,62.75,68.00
tspoint,0.50,7.00,31.00,56.25,71.50,81.00,84.50,86.50
sphorb,0.00,1.00,9.00,26.50,46.25,69.25,79.75,89.25
alike,0.00,0.25,1.51,1.51,1.76,2.02,2.52,2.52
talike,0.50,1.75,6.25,8.75,9.75,12.25,13.25,14.50
Ltspoint,1.25,7.25,26.75,46.75,58.25,66.00,68.00,68.50
Proposed,0.50,2.75,23.75,50.75,75.00,90.25,93.50,96.00
