,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.40,1.00,3.61,7.01,13.83,35.87,53.31,70.34
torb,0.00,1.80,7.41,20.44,37.88,59.32,72.14,82.97
sift,1.40,3.81,15.63,29.66,42.69,61.52,72.34,81.76
tsift,1.80,6.01,24.05,46.89,65.73,77.56,85.97,91.18
spoint,0.80,1.80,8.40,19.20,34.20,48.00,56.20,62.20
tspoint,0.60,2.20,7.40,15.80,33.20,49.00,54.80,59.40
sphorb,0.20,1.40,9.22,24.85,42.48,63.13,75.95,84.17
alike,0.00,0.40,2.20,3.60,4.60,6.00,6.00,6.40
talike,0.00,0.40,1.60,4.00,5.60,7.60,9.20,11.00
Ltspoint,0.00,0.40,4.00,10.20,20.00,28.80,30.80,33.20
Proposed,0.60,3.00,17.80,42.20,65.60,84.60,90.20,95.60
