,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,0.25,0.75,3.25,16.00,30.50,52.25
torb,0.00,0.25,2.25,8.25,20.25,47.75,66.50,79.25
sift,0.25,0.76,4.05,11.14,24.81,43.80,59.24,71.65
tsift,0.26,1.53,11.76,27.37,48.08,71.36,79.54,87.98
spoint,0.25,0.50,6.00,14.00,24.75,35.25,41.25,47.75
tspoint,0.50,0.75,5.75,13.50,27.50,39.50,48.25,54.75
sphorb,0.00,0.00,0.75,7.75,19.75,47.25,66.75,80.50
alike,0.00,0.25,0.50,1.01,1.26,3.02,3.53,4.79
talike,0.00,0.00,1.25,3.26,5.51,8.27,9.52,11.03
Ltspoint,0.00,0.75,3.00,8.25,17.00,26.75,32.50,36.00
Proposed,0.00,0.75,3.75,17.25,42.50,73.75,85.25,91.75
