,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.60,3.61,17.84,34.47,53.11,71.94,81.56,90.58
torb,2.61,8.02,27.05,44.89,59.72,74.75,82.36,89.38
corb,0.40,1.20,10.60,27.00,41.80,61.80,75.80,87.60
cporb,0.00,1.60,14.00,42.60,65.20,79.40,86.80,94.60
sift,0.60,3.41,14.63,33.87,53.31,70.34,79.56,89.38
tsift,0.80,4.21,22.65,47.70,67.13,81.96,90.38,95.19
csift,0.60,2.40,16.43,36.27,59.52,76.75,84.37,90.38
cpsift,0.00,3.21,19.24,41.28,61.92,79.16,86.97,93.59
spoint,0.40,2.20,13.60,27.60,41.40,53.40,59.20,66.60
tspoint,0.20,1.00,11.00,25.00,37.00,46.80,50.80,56.60
cspoint,0.20,0.80,6.60,16.00,24.80,33.20,40.00,47.40
cpspoint,0.00,1.80,10.60,22.80,34.40,48.60,54.20,61.20
alike,0.00,0.20,1.00,2.40,4.60,11.20,18.40,28.40
talike,0.00,0.00,0.40,1.80,6.00,15.40,24.00,36.60
calike,0.00,0.00,0.60,1.60,5.00,15.20,27.20,40.00
cpalike,0.00,0.20,0.40,2.80,7.60,17.60,29.40,42.80
sphorb,0.60,3.81,27.86,47.29,64.73,78.36,87.98,94.99
