,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.40,1.00,3.61,10.82,20.64,41.68,59.32,76.55
torb,1.00,3.41,10.62,23.85,36.07,55.71,71.34,80.96
sift,0.60,1.40,6.81,14.63,22.85,37.47,54.71,70.34
tsift,1.20,4.01,14.83,26.85,46.69,67.94,79.96,88.38
spoint,0.80,2.60,14.00,40.20,62.00,78.20,85.20,89.40
tspoint,0.80,1.80,11.20,34.40,59.40,79.00,86.60,91.20
alike,0.00,0.20,0.80,2.00,5.40,8.80,13.20,18.80
talike,0.20,0.20,0.60,3.00,4.80,9.40,16.80,26.60
sphorb,0.40,1.60,9.42,28.66,48.50,70.14,82.97,90.18
