,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,1.20,13.23,27.66,42.08,56.31,69.94,85.37
torb,1.80,8.42,24.85,41.68,54.31,68.54,77.96,87.78
sift,0.00,1.80,13.03,25.05,39.88,54.11,68.14,84.77
tsift,0.80,5.01,27.05,49.10,66.53,78.96,87.37,93.39
spoint,1.00,6.20,34.00,56.00,69.40,81.20,85.40,93.00
tspoint,0.60,4.20,28.00,55.00,70.00,82.40,88.20,92.40
alike,0.00,0.20,1.80,3.60,6.40,9.60,14.00,21.40
talike,0.00,0.40,1.60,4.20,7.40,13.20,19.80,31.00
sphorb,1.00,4.61,34.27,54.51,68.74,82.16,89.98,95.99
