,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,1.40,8.42,20.24,42.08,68.94,81.56,91.18
torb,0.40,4.81,14.43,29.46,50.70,72.75,80.36,89.38
corb,0.00,0.40,5.80,19.60,35.00,57.60,73.00,85.80
cporb,0.00,1.00,10.20,33.20,57.80,78.20,86.60,95.20
sift,0.00,1.40,8.02,21.64,42.48,66.53,80.16,89.18
tsift,0.60,2.40,15.63,35.27,58.72,78.56,87.17,94.59
csift,0.20,1.60,11.82,31.26,51.30,72.55,83.77,90.18
cpsift,0.20,1.60,12.63,35.27,56.51,77.56,85.77,92.79
spoint,0.20,0.60,7.20,16.00,29.40,44.80,55.60,66.20
tspoint,0.40,1.00,6.00,16.20,28.20,38.60,45.40,53.60
cspoint,0.00,0.00,3.40,10.40,17.80,27.80,35.20,44.80
cpspoint,0.00,0.80,6.00,15.60,26.20,40.20,50.00,59.00
alike,0.00,0.00,0.40,1.80,4.00,10.60,18.00,27.60
talike,0.00,0.00,0.40,1.60,5.60,14.00,24.00,37.00
calike,0.00,0.00,0.40,0.80,4.00,13.00,26.40,40.40
cpalike,0.00,0.00,0.80,2.40,6.00,17.40,29.40,44.00
sphorb,0.60,3.01,18.04,37.27,57.72,76.75,88.78,93.19
