,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.40,0.80,4.41,12.83,28.86,52.10,70.54,83.17
torb,0.40,1.60,10.42,22.65,39.08,59.52,74.15,83.37
corb,0.00,0.40,3.20,11.20,24.20,44.00,62.40,76.20
cporb,0.40,0.80,7.60,19.00,39.60,66.80,79.80,89.20
sift,0.20,0.80,4.01,12.83,28.46,54.71,69.34,82.16
tsift,0.20,1.40,6.61,23.25,44.49,70.74,83.37,91.18
csift,0.00,0.40,5.61,15.63,36.07,63.93,76.35,84.57
cpsift,0.60,1.60,5.81,19.04,41.68,68.34,80.56,87.37
spoint,0.00,0.80,3.40,9.00,20.20,36.20,49.40,57.60
tspoint,0.00,0.20,1.80,6.00,17.80,34.80,43.00,48.60
cspoint,0.00,0.20,0.60,3.60,9.80,21.20,30.00,37.60
cpspoint,0.00,0.00,1.60,6.80,18.80,34.00,43.60,53.80
alike,0.00,0.00,0.20,1.60,3.60,7.60,13.00,21.00
talike,0.00,0.00,0.40,1.20,3.40,10.00,18.00,31.00
calike,0.00,0.00,0.00,0.80,2.80,9.80,21.00,32.40
cpalike,0.00,0.00,0.20,0.60,3.40,12.60,24.40,36.20
sphorb,0.60,2.00,5.41,22.04,46.49,68.74,80.16,89.78
