,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,1.40,9.02,22.24,43.69,68.74,81.36,91.78
torb,0.80,4.81,14.63,29.66,51.90,72.95,80.76,89.58
corb,0.00,0.40,6.20,20.20,35.80,59.00,74.60,86.80
cporb,0.00,1.00,10.40,33.40,59.00,78.00,86.60,95.20
sift,0.00,1.40,8.62,22.85,45.09,68.34,80.96,89.38
tsift,0.80,2.61,15.83,37.07,58.72,78.76,87.98,94.79
csift,0.20,1.60,12.63,31.46,52.10,73.35,83.77,90.38
cpsift,0.20,1.40,13.23,35.67,57.72,77.56,85.57,92.99
spoint,0.00,0.60,7.40,17.00,30.20,46.00,55.80,66.20
tspoint,0.40,1.00,7.00,16.80,28.80,39.00,47.00,54.40
cspoint,0.00,0.00,3.40,10.40,18.40,28.20,36.20,45.00
cpspoint,0.00,0.80,5.80,16.00,27.80,41.40,50.60,59.20
alike,0.00,0.00,0.40,1.80,3.80,10.60,17.80,27.80
talike,0.00,0.00,0.40,1.80,6.20,14.40,23.80,36.80
calike,0.00,0.00,0.40,0.80,4.00,13.80,26.60,40.60
cpalike,0.00,0.00,0.80,2.60,5.80,17.40,29.20,44.00
sphorb,0.80,3.01,18.44,38.08,58.32,76.75,88.98,94.79
