,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.60,1.20,4.81,12.83,29.26,52.91,70.54,83.77
torb,0.60,2.00,10.42,22.44,38.68,59.92,74.35,83.57
corb,0.00,0.20,2.60,11.00,23.80,45.40,62.40,76.60
cporb,0.40,0.80,7.80,19.60,40.20,67.20,79.60,88.60
sift,0.20,0.80,3.81,13.63,28.46,55.11,69.74,82.36
tsift,0.20,1.60,7.01,23.25,45.49,71.54,82.97,91.58
csift,0.00,0.60,5.81,16.03,36.27,64.13,76.55,85.37
cpsift,0.60,1.20,5.81,19.24,42.48,68.54,80.36,87.37
spoint,0.00,1.00,3.00,10.60,21.00,38.40,51.20,58.40
tspoint,0.00,0.20,1.60,6.20,18.60,35.40,43.20,49.00
cspoint,0.00,0.20,0.80,3.80,9.80,21.80,30.80,36.80
cpspoint,0.00,0.00,1.80,6.80,19.80,35.40,44.20,53.40
alike,0.00,0.00,0.20,1.40,4.00,7.60,13.00,21.20
talike,0.00,0.00,0.60,1.60,3.40,10.20,18.00,31.00
calike,0.00,0.00,0.00,0.80,2.80,10.20,21.00,32.40
cpalike,0.00,0.00,0.20,0.60,3.40,12.40,24.40,36.40
sphorb,0.80,2.00,5.81,21.84,47.09,68.74,80.76,89.78
