,Matched,Keypoint
orb,2366533.066,38930430.862
torb,1757434.870,18479839.679
corb,1889280.000,28666000.000
cporb,3279900.000,55146000.000
sift,1224769.539,9400090.180
tsift,1282324.649,4814428.858
csift,1249579.158,8684539.078
cpsift,1409318.637,9322975.952
spoint,291920.000,8095000.000
tspoint,220745.968,3990796.371
cspoint,179591.837,6509887.755
cpspoint,249475.806,7224697.581
alike,3758620.000,13117000.000
talike,1804980.000,4845000.000
calike,3328820.000,11749000.000
cpalike,3642020.000,11071000.000
sphorb,3208797.595,50341152.305
