,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,1.20,7.21,16.83,29.06,50.70,66.73,80.36
torb,0.40,3.61,11.82,21.44,37.88,58.72,69.54,80.56
corb,0.60,1.00,4.80,12.40,19.80,36.20,50.00,63.00
cporb,0.20,1.60,7.20,19.80,39.60,62.00,76.40,86.60
sift,0.80,1.40,4.41,14.03,26.65,48.70,62.93,72.95
tsift,0.80,1.20,7.62,21.84,46.49,68.34,80.36,87.58
csift,0.40,1.00,7.21,17.84,32.46,52.30,63.93,72.75
cpsift,0.20,1.00,5.41,16.83,37.88,58.92,71.54,79.76
spoint,0.20,1.60,4.60,15.00,27.60,42.40,51.60,56.80
tspoint,0.00,0.20,2.82,10.89,26.41,42.14,48.79,53.23
cspoint,0.00,0.20,2.04,6.53,13.06,24.08,31.63,40.20
cpspoint,0.20,0.20,3.02,10.08,22.78,37.90,46.57,52.42
alike,0.00,0.00,0.20,0.60,2.80,5.80,12.40,17.80
talike,0.00,0.00,0.00,1.20,2.00,6.20,14.20,24.60
calike,0.00,0.00,0.20,0.60,2.40,6.60,11.60,23.60
cpalike,0.00,0.00,0.60,1.20,2.80,8.60,17.60,28.80
sphorb,0.40,1.00,8.02,23.65,45.29,67.13,78.36,89.58
