,Matched,Keypoint
orb,2366533.066,38930430.862
torb,1757434.870,18479839.679
corb,1889280.000,28666000.000
cporb,3279900.000,55146000.000
sift,1224769.539,9400090.180
tsift,1282324.649,4814428.858
csift,1249579.158,8684539.078
cpsift,1409318.637,9322975.952
spoint,291920.000,8095000.000
tspoint,219620.000,3988000.000
cspoint,177600.000,6504000.000
cpspoint,248120.000,7232000.000
alike,3758620.000,13117000.000
talike,1804980.000,4845000.000
calike,3328820.000,11749000.000
cpalike,3642020.000,11071000.000
sphorb,3208797.595,50341152.305
