,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,0.25,2.25,5.75,17.25,33.75,57.25
torb,0.00,0.00,1.00,2.50,10.50,32.00,55.25,73.50
corb,0.00,0.00,0.50,2.00,7.50,18.00,43.25,63.00
cporb,0.00,0.00,0.75,4.25,13.25,33.75,55.75,72.00
sift,0.00,0.00,0.77,3.32,9.95,25.77,48.21,65.82
tsift,0.26,0.77,2.56,10.49,26.09,53.96,70.84,84.14
csift,0.00,0.00,0.50,4.25,10.75,34.50,55.00,70.00
cpsift,0.00,0.50,1.75,6.50,14.25,37.75,57.00,76.00
spoint,0.25,1.25,5.25,23.25,46.75,67.50,77.00,84.75
tspoint,0.50,1.25,6.27,20.80,44.36,68.17,76.44,84.71
cspoint,0.25,0.25,3.25,13.25,34.75,61.00,74.25,80.50
cpspoint,0.50,1.00,6.77,19.55,44.86,69.42,77.69,83.21
alike,0.00,0.00,0.76,1.77,2.78,5.05,9.85,16.16
talike,0.25,0.25,0.25,2.00,3.75,10.50,18.25,27.25
calike,0.00,0.25,0.50,1.50,3.01,7.02,13.28,19.80
cpalike,0.00,1.00,1.50,3.00,6.00,12.50,19.00,28.00
sphorb,0.25,0.50,2.75,8.75,23.00,55.50,73.00,86.75
