,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,0.75,2.25,5.00,16.50,32.50,56.75
torb,0.00,0.00,1.00,2.50,10.25,32.25,54.75,73.75
corb,0.00,0.00,0.25,1.25,7.00,18.25,42.50,62.50
cporb,0.00,0.25,0.75,4.50,13.00,33.00,54.50,71.75
sift,0.00,0.00,0.51,2.55,9.95,25.26,47.70,65.82
tsift,0.26,1.02,3.07,10.23,25.32,52.43,71.10,83.89
csift,0.00,0.25,0.50,4.25,10.50,33.75,55.25,70.50
cpsift,0.00,0.75,2.00,6.00,14.00,37.50,56.50,75.75
spoint,0.50,0.75,4.75,23.00,46.00,66.00,77.75,85.00
tspoint,0.50,0.75,5.76,20.30,41.60,67.67,75.69,84.96
cspoint,0.00,0.00,3.50,13.25,32.00,60.50,73.75,80.50
cpspoint,0.50,1.50,6.77,18.80,41.10,68.67,77.69,83.21
alike,0.00,0.00,0.25,2.02,3.28,5.81,10.10,17.93
talike,0.00,0.00,0.25,1.75,4.75,10.50,18.00,26.75
calike,0.00,0.25,0.50,1.00,3.01,7.77,13.28,19.55
cpalike,0.00,0.50,0.75,2.75,5.50,12.00,17.50,28.75
sphorb,0.25,0.75,2.50,8.00,23.00,54.00,73.00,86.50
