,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.25,0.25,2.50,8.25,15.75,29.50,53.75,78.00
torb,0.25,2.75,11.75,22.50,38.50,63.50,80.50,91.00
corb,0.00,0.50,3.00,10.25,21.00,42.25,64.50,86.25
cporb,0.00,0.75,5.00,15.50,29.50,54.00,73.00,89.50
sift,0.25,0.25,2.27,7.32,17.93,43.69,68.43,88.89
tsift,0.00,1.28,7.67,23.53,46.80,71.87,86.96,95.14
csift,0.00,0.00,3.00,10.75,24.25,49.75,70.75,88.75
cpsift,0.00,0.75,5.75,12.75,26.25,53.50,75.00,89.75
spoint,0.25,3.25,27.50,50.75,68.00,80.75,88.50,93.75
tspoint,0.75,3.00,23.00,55.25,74.50,86.00,90.75,94.00
cspoint,0.00,2.25,17.25,37.25,55.00,73.75,85.50,92.50
cpspoint,0.75,4.25,23.50,50.75,66.25,81.25,89.00,93.00
alike,0.00,0.25,1.01,2.53,5.81,10.86,14.65,21.72
talike,0.25,0.50,2.01,3.76,8.02,16.54,26.57,38.85
calike,0.00,0.75,1.50,3.01,5.76,12.28,23.56,38.35
cpalike,0.00,0.50,1.50,4.51,6.52,17.04,27.07,41.85
sphorb,0.00,1.00,11.00,33.25,53.50,77.50,89.00,94.50
