,Matched,Keypoint
orb,17054125.000,44498750.000
torb,9878575.000,21960000.000
corb,12380850.000,30891250.000
cporb,23102425.000,58062500.000
sift,6743964.646,13186818.182
tsift,4836112.532,7694526.854
csift,6928825.000,13405000.000
cpsift,7590500.000,14270000.000
spoint,1999975.000,11557500.000
tspoint,1459875.000,5691250.000
cspoint,1599975.000,10111250.000
cpspoint,1954025.000,11067500.000
alike,359772.727,10719987.374
talike,411303.258,5419974.937
calike,411528.822,9363984.962
cpalike,502531.328,10199223.058
sphorb,19077900.000,57600000.000
