,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.25,0.50,2.00,8.00,14.75,31.00,54.50,79.00
torb,0.75,2.25,11.50,23.00,38.00,64.50,79.75,90.75
corb,0.00,0.50,2.50,10.25,22.50,43.50,65.50,86.50
cporb,0.00,0.50,5.50,15.75,29.75,52.75,74.75,89.25
sift,0.00,0.76,2.53,8.59,19.19,44.44,68.94,89.14
tsift,0.00,1.28,10.23,24.81,46.29,71.87,87.72,95.65
csift,0.00,0.00,3.00,10.00,23.50,49.25,72.00,88.25
cpsift,0.00,0.50,5.50,12.50,27.25,54.00,75.75,91.00
spoint,0.25,3.50,27.50,48.50,68.00,81.25,88.75,94.50
tspoint,0.75,2.25,22.75,53.25,74.50,85.50,91.50,94.75
cspoint,0.50,2.00,16.25,36.50,54.50,73.00,85.50,92.25
cpspoint,0.50,2.75,23.50,49.00,66.25,82.75,89.50,93.00
alike,0.00,0.25,0.76,2.53,4.29,10.10,14.90,24.49
talike,0.00,0.50,1.50,3.76,7.77,18.30,29.07,40.10
calike,0.00,0.50,1.75,3.26,6.02,13.78,25.31,39.10
cpalike,0.00,0.50,1.25,3.76,6.77,18.30,28.57,43.36
sphorb,0.00,0.75,11.25,32.25,54.00,78.50,90.25,94.50
