,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.50,2.75,7.50,16.50,40.25,66.25,84.25
torb,0.25,1.50,8.00,18.50,41.00,72.75,88.25,95.00
corb,0.00,0.00,2.50,8.50,23.00,50.25,74.50,87.25
cporb,0.00,0.00,3.25,14.50,33.25,67.75,86.50,93.25
sift,0.00,0.25,1.01,8.84,23.99,57.83,77.53,91.16
tsift,0.00,1.02,6.65,23.79,50.13,83.89,94.37,97.70
csift,0.00,0.50,2.00,12.50,36.00,68.00,84.50,92.00
cpsift,0.25,0.25,3.25,13.00,36.75,68.75,87.25,93.75
spoint,0.00,2.25,11.75,23.50,38.75,57.25,65.75,74.25
tspoint,0.00,0.50,8.75,25.00,45.75,69.25,79.75,84.00
cspoint,0.00,0.00,3.50,12.75,23.50,41.00,55.00,65.00
cpspoint,0.00,0.50,8.75,24.00,40.25,58.50,68.75,77.00
alike,0.00,0.00,0.50,1.00,1.50,7.25,11.75,22.25
talike,0.00,0.00,0.00,1.00,3.00,9.00,21.00,39.00
calike,0.00,0.00,0.00,0.00,2.25,8.50,23.25,41.25
cpalike,0.00,0.00,0.00,0.50,1.75,9.00,26.00,46.00
sphorb,0.25,1.25,9.25,24.75,52.00,83.75,95.00,96.25
