,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,0.00,1.50,6.75,19.75,33.75,49.75
torb,0.00,0.00,0.50,4.00,10.75,27.50,46.00,63.25
corb,0.00,0.00,0.00,0.75,4.50,18.50,36.50,54.00
cporb,0.00,0.25,1.00,3.00,12.50,35.25,52.75,68.25
sift,0.00,0.00,1.26,4.55,11.36,26.26,47.22,66.67
tsift,0.77,1.02,2.30,7.93,23.53,53.45,72.63,83.38
csift,0.00,0.00,1.75,3.75,11.00,38.75,58.00,76.00
cpsift,0.00,0.00,0.25,5.25,12.75,45.50,62.25,77.25
spoint,0.00,0.00,2.75,6.25,16.25,27.25,34.25,40.25
tspoint,0.00,0.50,1.00,5.75,12.50,27.50,37.25,48.50
cspoint,0.00,0.00,0.50,2.25,6.00,16.50,24.50,31.50
cpspoint,0.00,0.00,1.25,4.25,12.25,29.75,36.25,44.75
alike,0.00,0.00,0.00,0.00,0.50,2.00,6.75,13.75
talike,0.00,0.00,0.25,0.75,2.25,5.75,11.00,21.50
calike,0.00,0.00,0.00,0.00,1.25,3.25,7.00,18.00
cpalike,0.00,0.00,0.25,0.50,1.50,4.75,10.25,21.75
sphorb,0.00,0.25,1.50,7.25,18.00,42.50,55.75,66.25
