,Matched,Keypoint
orb,2012225.000,44498750.000
torb,1920500.000,21960000.000
corb,1714625.000,30891250.000
cporb,3033500.000,58062500.000
sift,1472348.485,13186818.182
tsift,1630537.084,7694526.854
csift,1575900.000,13405000.000
cpsift,1791125.000,14270000.000
spoint,248325.000,11557500.000
tspoint,285975.000,5691250.000
cspoint,182025.000,10111250.000
cpspoint,258025.000,11067500.000
alike,3556400.000,10728750.000
talike,2149100.000,5418750.000
calike,3294675.000,9366250.000
cpalike,3402575.000,10196250.000
sphorb,3273175.000,57600000.000
