,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.25,2.75,7.50,17.00,40.75,65.75,84.25
torb,0.25,1.50,8.25,19.25,41.50,74.25,88.50,95.00
corb,0.00,0.00,2.50,9.25,23.00,51.50,75.00,87.00
cporb,0.00,0.00,3.50,14.50,34.50,68.50,86.50,93.25
sift,0.00,0.25,1.52,9.85,25.25,58.33,78.03,90.91
tsift,0.26,0.77,7.16,24.04,50.90,84.14,94.37,97.70
csift,0.25,0.50,2.25,13.00,36.00,68.25,84.50,92.00
cpsift,0.25,0.25,3.25,13.75,37.50,69.50,87.25,94.00
spoint,0.00,2.50,12.25,24.50,39.75,57.25,65.00,74.50
tspoint,0.00,0.75,9.25,26.75,47.25,70.50,80.50,85.00
cspoint,0.00,0.00,3.75,13.50,25.00,43.25,56.50,65.00
cpspoint,0.25,0.50,9.00,24.25,42.25,60.00,70.25,77.25
alike,0.00,0.00,0.25,1.00,1.75,7.50,11.75,22.25
talike,0.00,0.00,0.00,1.00,3.50,9.00,21.25,39.00
calike,0.00,0.00,0.00,0.00,2.50,9.00,23.00,41.50
cpalike,0.00,0.00,0.00,0.50,2.00,9.25,26.00,46.00
sphorb,0.25,1.25,9.00,26.50,53.25,84.50,94.50,96.25
