,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,0.00,1.50,7.50,19.75,33.25,49.75
torb,0.00,0.00,0.25,4.25,11.50,28.00,47.75,63.25
corb,0.00,0.00,0.25,1.00,5.00,18.50,37.50,54.25
cporb,0.00,0.25,1.25,3.25,12.50,34.25,53.50,68.25
sift,0.00,0.00,0.76,4.04,11.62,27.27,47.73,66.92
tsift,0.77,1.02,2.30,7.42,24.04,54.73,72.63,83.38
csift,0.00,0.00,1.50,4.00,12.25,39.00,58.25,76.00
cpsift,0.00,0.00,0.75,5.25,12.75,46.50,62.50,77.25
spoint,0.25,0.25,2.50,7.25,16.50,27.75,35.50,41.25
tspoint,0.00,0.00,1.50,6.25,13.75,29.75,39.00,49.50
cspoint,0.00,0.25,0.75,2.25,6.50,16.50,24.50,31.50
cpspoint,0.00,0.00,1.50,4.50,12.75,30.50,37.75,45.25
alike,0.00,0.00,0.00,0.00,0.50,2.25,6.75,13.75
talike,0.00,0.00,0.25,0.75,2.25,5.75,11.00,21.25
calike,0.00,0.00,0.00,0.50,1.25,3.25,6.75,18.00
cpalike,0.00,0.00,0.00,0.50,1.50,5.00,10.25,21.75
sphorb,0.00,0.00,1.75,6.75,18.50,42.25,55.50,66.00
