,Matched,Keypoint
orb,13717100.000,44035000.000
torb,10044700.000,24015000.000
corb,13541900.000,32480000.000
cporb,24245900.000,60015000.000
sift,6760600.000,14315000.000
tsift,4284800.000,6155000.000
csift,6738500.000,11675000.000
cpsift,7377500.000,12370000.000
spoint,2044100.000,8910000.000
tspoint,1412300.000,3575000.000
cspoint,1784700.000,6280000.000
cpspoint,2173000.000,6785000.000
alike,685600.000,8920000.000
talike,541800.000,6620000.000
calike,1512600.000,17990000.000
cpalike,882500.000,8325000.000
sphorb,20079200.000,58685000.000
