,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,3.00,10.00,15.00,26.00,40.00,58.00
torb,2.00,9.00,19.00,32.00,43.00,54.00,69.00,78.00
corb,0.00,1.00,9.00,19.00,29.00,46.00,62.00,73.00
cporb,0.00,3.00,16.00,33.00,44.00,58.00,63.00,73.00
sift,1.00,3.00,18.00,27.00,40.00,49.00,59.00,70.00
tsift,0.00,4.00,23.00,37.00,51.00,64.00,71.00,78.00
csift,0.00,5.00,13.00,26.00,40.00,49.00,58.00,67.00
cpsift,0.00,6.00,19.00,32.00,39.00,51.00,62.00,65.00
spoint,0.00,8.00,41.00,61.00,72.00,85.00,93.00,96.00
tspoint,0.00,1.00,26.00,64.00,80.00,91.00,94.00,97.00
cspoint,1.00,9.00,26.00,49.00,60.00,78.00,87.00,92.00
cpspoint,1.00,6.00,34.00,56.00,67.00,77.00,85.00,92.00
alike,1.00,3.00,3.00,4.00,5.00,8.00,10.00,15.00
talike,0.00,0.00,1.00,2.00,2.00,10.00,13.00,20.00
calike,0.00,0.00,1.00,3.00,3.00,4.00,7.00,11.00
cpalike,0.00,2.00,5.00,6.00,7.00,10.00,18.00,23.00
sphorb,0.00,8.00,30.00,37.00,48.00,59.00,68.00,77.00
