,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,1.00,3.00,10.00,23.00,34.00,47.00
torb,3.00,6.00,23.00,32.00,45.00,60.00,67.00,74.00
corb,1.00,2.00,15.00,23.00,36.00,55.00,64.00,74.00
cporb,1.00,3.00,17.00,32.00,49.00,61.00,68.00,74.00
sift,0.00,2.00,6.00,19.00,34.00,50.00,58.00,73.00
tsift,0.00,3.00,22.00,38.00,54.00,68.00,76.00,80.00
csift,0.00,6.00,10.00,27.00,42.00,56.00,58.00,67.00
cpsift,1.00,3.00,14.00,30.00,41.00,52.00,62.00,73.00
spoint,1.00,6.00,23.00,53.00,67.00,82.00,91.00,94.00
tspoint,0.00,1.00,18.00,55.00,77.00,83.00,92.00,98.00
cspoint,1.00,3.00,14.00,39.00,58.00,75.00,82.00,90.00
cpspoint,0.00,4.00,17.00,49.00,67.00,80.00,86.00,89.00
alike,0.00,0.00,3.00,4.00,5.00,8.00,13.00,23.00
talike,0.00,0.00,0.00,2.00,7.00,12.00,16.00,25.00
calike,0.00,0.00,1.00,2.00,3.00,4.00,9.00,12.00
cpalike,1.00,1.00,2.00,3.00,9.00,14.00,18.00,21.00
sphorb,1.00,5.00,14.00,36.00,57.00,65.00,68.00,77.00
