,Matched,Keypoint
orb,1784500.000,44035000.000
torb,2585800.000,24015000.000
corb,3355100.000,32480000.000
cporb,5491800.000,60015000.000
sift,2201500.000,14315000.000
tsift,2288400.000,6155000.000
csift,2796600.000,11675000.000
cpsift,3133300.000,12370000.000
spoint,420600.000,8910000.000
tspoint,303100.000,3575000.000
cspoint,290700.000,6280000.000
cpspoint,399200.000,6785000.000
alike,3363000.000,8920000.000
talike,2088500.000,6620000.000
calike,3261200.000,17990000.000
cpalike,3392400.000,8325000.000
sphorb,5317700.000,58685000.000
