,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,1.00,3.00,8.00,19.00,31.00,59.00,80.00,93.00
torb,1.00,7.00,22.00,38.00,51.00,73.00,86.00,92.00
corb,0.00,0.00,7.00,24.00,37.00,56.00,70.00,82.00
cporb,0.00,1.00,14.00,32.00,53.00,74.00,83.00,92.00
sift,0.00,3.00,12.00,32.00,56.00,84.00,88.00,95.00
tsift,0.00,2.00,11.00,27.00,49.00,77.00,84.00,91.00
csift,0.00,1.00,10.00,29.00,48.00,73.00,82.00,89.00
cpsift,1.00,2.00,13.00,28.00,50.00,72.00,86.00,89.00
spoint,1.00,3.00,11.00,25.00,44.00,67.00,75.00,84.00
tspoint,0.00,0.00,3.00,17.00,33.00,51.00,56.00,69.00
cspoint,0.00,1.00,5.00,19.00,35.00,46.00,55.00,65.00
cpspoint,0.00,2.00,7.00,19.00,39.00,58.00,67.00,78.00
alike,0.00,0.00,0.00,0.00,3.00,7.00,10.00,15.00
talike,0.00,0.00,0.00,0.00,1.00,7.00,11.00,25.00
calike,0.00,0.00,0.00,1.00,6.00,12.00,15.00,23.00
cpalike,0.00,0.00,0.00,1.00,4.00,5.00,16.00,23.00
sphorb,0.00,1.00,11.00,26.00,41.00,71.00,82.00,90.00
