,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,1.00,1.00,9.00,18.00,32.00,55.00,75.00,85.00
torb,1.00,3.00,17.00,37.00,57.00,71.00,82.00,92.00
corb,0.00,1.00,6.00,17.00,39.00,58.00,71.00,81.00
cporb,0.00,3.00,12.00,31.00,54.00,78.00,89.00,92.00
sift,0.00,2.00,11.00,27.00,60.00,83.00,92.00,96.00
tsift,1.00,2.00,8.00,27.00,47.00,72.00,83.00,91.00
csift,0.00,1.00,11.00,23.00,47.00,71.00,82.00,88.00
cpsift,1.00,2.00,5.00,27.00,47.00,73.00,84.00,90.00
spoint,0.00,2.00,7.00,16.00,36.00,57.00,72.00,77.00
tspoint,0.00,1.00,4.00,9.00,22.00,41.00,57.00,65.00
cspoint,0.00,0.00,3.00,8.00,24.00,40.00,48.00,60.00
cpspoint,0.00,1.00,4.00,8.00,28.00,56.00,64.00,72.00
alike,0.00,0.00,1.00,2.00,5.00,8.00,9.00,16.00
talike,0.00,0.00,0.00,1.00,3.00,6.00,13.00,19.00
calike,0.00,1.00,1.00,1.00,4.00,6.00,11.00,16.00
cpalike,0.00,0.00,0.00,1.00,2.00,5.00,7.00,20.00
sphorb,1.00,1.00,13.00,28.00,46.00,69.00,79.00,91.00
