,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.40,1.20,10.82,24.65,37.27,52.71,66.53,81.36
torb,0.60,3.61,27.86,46.09,57.52,70.34,80.76,91.58
sift,2.20,11.02,32.46,45.09,59.72,71.34,80.36,89.78
tsift,1.40,12.63,48.90,66.73,75.55,82.97,88.98,95.39
spoint,0.40,3.60,18.20,30.40,42.80,54.00,60.40,69.00
tspoint,0.40,2.40,16.40,29.00,40.60,51.20,56.80,59.20
sphorb,1.40,5.81,32.06,49.30,61.52,74.35,83.17,90.98
alike,0.20,1.40,2.40,4.00,5.80,6.00,6.40,7.80
talike,0.20,1.20,3.60,5.60,6.80,9.40,10.40,12.40
Ltspoint,0.40,2.00,14.40,21.60,26.20,29.40,32.60,33.80
Proposed,0.60,6.00,32.20,61.20,77.20,87.40,92.40,97.80
