,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.25,1.25,5.25,14.50,26.75,48.25,68.75,90.25
torb,0.75,2.25,18.00,37.00,56.00,79.75,88.25,95.00
sift,0.25,3.29,15.44,29.62,48.86,71.39,83.29,92.66
tsift,0.77,7.67,31.97,54.73,76.73,90.54,95.91,97.44
spoint,0.75,6.50,31.00,47.50,59.50,69.25,74.25,78.25
tspoint,1.75,5.50,29.00,57.25,74.75,84.00,87.25,90.00
sphorb,0.50,2.00,17.00,38.25,61.00,81.50,91.50,96.00
alike,0.25,0.50,2.27,3.27,4.03,5.04,5.79,6.80
talike,0.25,1.50,7.52,11.03,13.28,15.29,16.04,17.04
Ltspoint,1.25,5.00,25.50,43.75,56.00,62.25,65.00,65.50
Proposed,0.25,2.50,20.75,52.25,75.00,89.75,93.75,95.75
