,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,1.25,4.50,12.75,24.75,44.75,69.50,85.25
torb,0.75,2.25,11.75,28.75,48.25,74.25,87.75,95.00
corb,0.00,0.50,5.00,17.50,34.25,63.75,80.00,91.50
cporb,0.25,0.75,10.50,26.25,44.50,73.25,85.25,92.25
sift,0.00,0.51,4.85,14.80,34.18,61.99,81.63,93.37
tsift,0.26,3.07,15.86,35.55,61.89,83.63,93.35,98.47
csift,0.25,0.25,5.25,19.75,39.00,65.75,83.75,91.50
cpsift,0.25,1.75,9.50,24.75,44.75,70.75,85.00,93.50
spoint,0.50,4.75,34.50,56.50,74.00,88.50,92.50,95.00
tspoint,1.00,5.01,24.81,55.89,77.44,91.23,94.74,95.99
cspoint,0.50,2.25,20.25,46.50,65.00,81.25,87.50,92.75
cpspoint,0.00,3.01,27.32,55.64,72.93,86.97,91.48,94.24
alike,0.00,0.00,1.52,2.78,4.80,10.61,16.41,25.25
talike,0.00,0.50,1.75,5.25,10.75,19.75,32.50,46.50
calike,0.00,0.50,1.00,2.51,8.02,17.04,29.32,42.86
cpalike,0.00,0.00,2.00,5.00,11.00,22.50,34.75,48.25
sphorb,0.25,2.50,18.00,40.50,63.25,85.25,92.00,95.50
